CAS,SMILES,Solubility
529-86-2,Oc2c3c(cccc3)cc1ccccc12,-4.73
51-98-9,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.79
5598-13-0,Clc1cc(Cl)c(OP(OC)(OC)=S)nc1Cl,-4.82
57-91-0,CC34CCC2c1c(CCC2C3CCC4O)cc(O)cc1,-4.84
2303-17-5,O=C(SCC(Cl)=C(Cl)Cl)N(C(C)C)C(C)C,-4.88
1982-47-4,O=C(N(C)C)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.89
581-42-0,Cc2cc1ccc(C)cc1cc2,-4.89
87-68-3,ClC(C(Cl)=C(Cl)Cl)=C(Cl)Cl,-4.91
19044-88-3,NS(c1cc(N(=O)=O)c(N(CCC)CCC)c(N(=O)=O)c1)(=O)=O,-5.16
2051-62-9,Clc1ccc(c2ccccc2)cc1,-5.2
1077-16-3,CCCCCCc1ccccc1,-5.21
517-09-9,Oc1cc(ccc3c2CCC4(C)C3CCC4=O)c2cc1,-5.24
26002-80-2,O=C(OCc2cccc(Oc3ccccc3)c2)C1C(C=C(C)C)C1(C)C,-5.24
85-01-8,c1(c(cccc3)c3cc2)c2cccc1,-5.26
56-72-4,CC(c1c(O2)cc(OP(OCC)(OCC)=S)cc1)=C(C2=O)Cl,-5.38
#2597-11-7,OC1C=CC2C1C3(C(Cl)=C(C2(C3(Cl)Cl)Cl)Cl)Cl,-5.46
1897-45-6,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
1582-09-8,O=N(=O)c1cc(C(F)(F)F)cc(N(=O)=O)c1N(CCC)CCC,-5.68
786-19-6,S=P(OCC)(OCC)SCSc1ccc(Cl)cc1,-5.74
2050-67-1,Clc1cccc(c2cc(Cl)ccc2)c1,-5.8
779-02-2,Cc1c(cccc3)c3cc2c1cccc2,-5.89
1732-13-4,c12c3c4ccc1CCCc2ccc3CCC4,-5.96
37680-65-2,Clc1cc(c2ccccc2Cl)c(Cl)cc1,-6.02
2104-96-3,S=P(OC)(OC)Oc(cc(Cl)c(Br)c1)c1Cl,-6.09
72-20-8,ClC1(C2C4C5C(O5)C(C4)C23)C(Cl)=C(Cl)C3(Cl)C1(Cl)Cl,-6.18
7012-37-5,Clc1ccc(c2ccc(cc2Cl)Cl)cc1,-6.21
1024-57-3,ClC(C(Cl)=C1Cl)(C2C(O4)C4C(Cl)C23)C(Cl)(Cl)C13Cl,-6.29
52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(OCc2cccc(Oc3ccccc3)c2)=O,-6.29
55702-45-9,Clc1ccc(Cl)c(c2ccccc2)c1Cl,-6.29
76-44-8,ClC1(C(Cl)=C2Cl)C(C3Cl)C(C=C3)C2(Cl)C1(Cl)Cl,-6.32
2437-79-8,Clc(cc(Cl)cc2)c2c1ccc(Cl)cc1Cl,-6.51
789-02-6,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c(cccc2)c2Cl,-6.62
1330-78-5,O=P(Oc1ccc(O)cc1C)(Oc2cc(O)ccc2C)Oc3c(O)cccc3C,-6.7
57-10-3,CCCCCCCCCCCCCCCC(O)=O,-6.81
72-43-5,ClC(Cl)(Cl)C(c2ccc(OC)cc2)c1ccc(OC)cc1,-6.89
117-81-7,O=C(OCC(CC)CCCC)c1ccccc1C(OCC(CC)CCCC)=O,-6.96
35693-99-3,Clc(ccc(Cl)c2)c2c1cc(Cl)ccc1Cl,-7
52663-62-4,Clc2c(ccc(Cl)c2Cl)c1c(Cl)c(Cl)ccc1,-7.05
33284-53-6,Clc(c(Cl)c(Cl)c(Cl)c2)c2c1ccccc1,-7.16
36653-82-4,CCCCCCCCCCCCCCCCO,-7.26
309-00-2,ClC12C3C(C4C=CC3C4)C(C2(Cl)Cl)(Cl)C(Cl)=C1Cl,-7.33
192-97-2,c12c3c4c5c(cccc5)c1cccc2ccc3ccc4,-7.8
38380-02-8,Clc1ccc(Cl)c(c2ccc(Cl)c(Cl)c2Cl)c1,-7.91
243-17-4,c1(cc(cccc4)c4c3)c3Cc2c1cccc2,-8.04
218-01-9,c12c(ccc3c2ccc4c3cccc4)cccc1,-8.06
52663-71-5,Clc1c(Cl)c(Cl)ccc1c2c(Cl)c(Cl)c(Cl)cc2Cl,-8.3
35065-28-2,Clc1c(Cl)cc(Cl)c(c2ccc(Cl)c(Cl)c2Cl)c1,-8.32
55215-18-4,Clc1c(Cl)c(Cl)c(Cl)c(c2cccc(Cl)c2Cl)c1,-8.42
207-08-9,c12c3c4c(cc(cccc5)c5c4)c1cccc2ccc3,-8.49
92-24-0,c34cc2cc1ccccc1cc2cc3cccc4,-8.6
38411-22-2,Clc1ccc(Cl)c(c1Cl)c2c(Cl)ccc(Cl)c2Cl,-8.65
53-70-3,c12c(cccc3)c3ccc1cc4c(ccc5c4cccc5)c2,-8.66
191-24-2,c1(c(cc6)ccc3ccc4ccc5)c3c4c5c2c1c6ccc2,-9.03
40186-72-9,Clc1c(c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1Cl,-10.26
52663-77-1,Clc(c(Cl)c(Cl)c(Cl)c2Cl)c2c1c(Cl)c(Cl)cc(Cl)c1Cl,-10.41
37680-73-2,Clc1cc(c2cc(Cl)c(cc2Cl)Cl)c(Cl)cc1,-7.89
94-09-7,Nc1ccc(C(OCC)=O)cc1,-2.32
50-78-2,O=C(C)Oc1c(C(O)=O)cccc1,-1.61
58-55-9,O=C(N1C)c(nc[nH]2)c2N(C)C1=O,-1.37
60-80-0,CN1C(C)=CC(N1c2ccccc2)=O,0.39
1912-24-9,CCNc1nc(NC(C)C)nc(Cl)n1,-3.55
50-06-6,O=C(C(CC)(C2=O)c1ccccc1)NC(N2)=O,-2.34
330-54-1,O=C(N(C)C)Nc1cc(Cl)c(Cl)cc1,-3.76
67-20-9,O=C(N2)N(CC2=O)N=Cc1ccc(N(=O)=O)o1,-3.38
57-41-0,O=C(NC(N3)=O)C3(c2ccccc2)c1ccccc1,-3.99
439-14-5,O=C1CN=C(c3ccccc3)c2c(ccc(Cl)c2)N1C,-3.76
58-22-0,CC12C(CCC3C2CCC4(C)C3CCC4O)=CC(CC1)=O,-4.07
58-89-9,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.6
56-38-2,S=P(OCC)(OCC)Oc1ccc(N(=O)=O)cc1,-4.29
333-41-5,S=P(OCC)(OCC)Oc1nc(C(C)C)nc(C)c1,-3.76
77-09-8,Oc(cc2)ccc2C3(c(cccc4)c4C(O3)=O)c1ccc(O)cc1,-2.9
121-75-5,O=C(OCC)C(CC(OCC)=O)SP(OC)(OC)=S,-3.36
2921-88-2,S=P(Oc1nc(Cl)c(Cl)cc1Cl)(OCC)OCC,-5.67
363-24-6,CCCCCC(O)C=CC1C(O)CC(C1CC=CCCCC(O)=O)=O,-2.47
50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-8.08
57-74-9,ClC2(C3(Cl)Cl)C(Cl)=C(Cl)C3(Cl)C1C(Cl)C(Cl)CC12,-6.86
